Company (Manufacturer),mean cocoa percent,median cocoa percent,max cocoa percent,min cocoa percent
Lirio,72.0,72.0,72.0,72.0
Beschle (Felchlin),72.0,72.0,88.0,64.0
Heirloom Cacao Preservation (Manoa),72.0,72.0,72.0,72.0
Nibble,72.0,72.0,72.0,72.0
Isidro,72.0,72.0,72.0,72.0
Askinosie,72.0,71.0,77.0,68.0
White Label aka Mutari,72.0,72.0,74.0,68.0
Whittakers,72.0,72.0,72.0,72.0
Honest,72.0,72.0,72.0,72.0
Black Sheep,72.0,72.0,72.0,72.0
Upchurch,72.0,72.0,72.0,72.0
Idilio (Felchlin),72.0,72.0,74.0,70.0
Chokola,72.0,72.5,75.0,67.0
Mayacama,72.0,72.0,72.0,72.0
Undone,72.0,72.0,74.0,70.0
Jean Marie Auboine,72.0,72.0,72.0,72.0
Johnny Iuzzini,72.0,72.0,72.0,72.0
Nikoa,72.0,72.0,72.0,72.0
Tsara (Cinagra),72.0,72.0,72.0,72.0
Mindo,72.0,72.0,77.0,67.0
Sjolinds,72.0,72.0,72.0,72.0
Raphio,72.0,72.0,72.0,72.0
Terroir,71.91666666666667,70.0,77.0,67.0
Mutari,71.75,69.5,80.0,68.0
Bar Au Chocolat,71.71428571428571,70.0,80.0,70.0
Potomac,71.7,70.0,82.0,70.0
Mission,71.66666666666667,70.0,75.0,70.0
Sweetness,71.66666666666667,73.0,74.0,68.0
Xocolatl,71.66666666666667,72.0,73.0,70.0
La Chorena,71.66666666666667,70.0,75.0,70.0
Manoa,71.55555555555556,72.0,72.0,70.0
Olive and Sinclair,71.5,72.0,75.0,67.0
Green Bean to Bar,71.5,71.5,73.0,70.0
Castronovo,71.5,71.5,73.0,70.0
Tribar,71.5,71.5,73.0,70.0
hexx,71.5,70.5,74.0,70.0
Domori,71.43478260869566,70.0,100.0,60.0
Nathan Miller,71.375,71.0,73.5,70.0
Map Chocolate,71.35714285714286,72.0,78.0,62.0
Land,71.33333333333333,71.0,73.0,70.0
DAR,71.33333333333333,72.0,72.0,70.0
Bonaterra,71.33333333333333,72.0,74.0,68.0
Holy Cacao,71.25,70.0,75.0,70.0
Zoto (Chocolatoa),71.25,71.0,75.0,68.0
Szanto Tibor,71.2,70.0,88.0,70.0
Original Beans (Felchlin),71.16666666666667,69.0,80.0,66.0
Chocotenango,71.0,70.0,73.0,70.0
Bittersweet Origins,71.0,70.5,78.0,65.0
Sol Cacao,71.0,71.0,72.0,70.0
Matale,71.0,71.0,74.0,68.0
Acalli,71.0,70.0,74.0,70.0
Tiny House,71.0,71.0,71.0,71.0
Levy,71.0,71.0,71.0,71.0
Lumineux,71.0,72.0,75.0,67.0
Piety and Desire,71.0,70.0,73.0,70.0
Poppy and Peep,71.0,71.0,76.0,66.0
Taucherli,71.0,71.0,72.0,70.0
Chocolarder,71.0,69.5,80.0,65.0
French Broad,70.9,70.0,81.0,65.0
Moka Origins,70.8,72.0,72.0,68.0
Soma,70.78181818181818,70.0,88.0,62.0
Kah Kow - USA,70.75,70.75,71.5,70.0
Maverick,70.71428571428571,70.0,82.0,63.0
Moho,70.66666666666667,72.0,73.0,67.0
La Feverie (Hasnaa),70.66666666666667,70.0,72.0,70.0
River-Sea,70.66666666666667,70.0,72.0,70.0
Seahorse,70.55555555555556,70.0,75.0,70.0
Arete,70.53125,70.0,75.0,68.0
Fossa,70.5,70.0,75.0,67.0
Friis Holm (Bonnat),70.41666666666667,70.0,85.0,60.0
Spencer,70.28571428571429,70.0,72.0,70.0
Metiisto,70.25,71.0,72.0,67.0
Xocolla,70.0,70.0,70.0,70.0
Raw Cocoa,70.0,70.0,70.0,70.0
Bowler Man,70.0,70.0,70.0,70.0
Tan Ban Skrati,70.0,70.0,70.0,70.0
